"fodds","horse_id","horse_name","opDec","race_id","timestamp"
"5/1","4213762","hannahs-return","6","902397","2025-09-29T10:02:33.884044"
"7/1","2996824","mehmo","8","902397","2025-09-29T10:02:33.981252"
"8/1","58956195","rinky-tinky-tinky","9","902397","2025-09-29T10:02:34.093914"
"8/1","4438462","roman-spring","9","902397","2025-09-29T10:02:34.221360"
"12/1","4977930","big-time-rascal","13","902397","2025-09-29T10:02:34.354453"
"14/1","5968910","beautiful-things","15","902397","2025-09-29T10:02:34.440834"
"25/1","6300771","commendation","26","902397","2025-09-29T10:02:34.571244"
"25/1","4499169","haveagobeau","26","902397","2025-09-29T10:02:34.667014"
"11/4","3705544","starsong","3.75","902398","2025-09-29T10:02:35.090142"
"7/2","3499385","antiphon","4.5","902398","2025-09-29T10:02:35.183607"
"7/2","1978680","recon-mission","4.5","902398","2025-09-29T10:02:35.281682"
"5/1","5386054","barnsnape-boy","6","902398","2025-09-29T10:02:35.387449"
"6/1","6260995","reporter","7","902398","2025-09-29T10:02:35.497324"
"10/1","4303357","diomed-spirit","11","902398","2025-09-29T10:02:35.609269"
"20/1","3897009","battle-point","21","902398","2025-09-29T10:02:35.735644"
"25/1","5764770","off-the-bench","26","902398","2025-09-29T10:02:35.817077"
"11/10","7493129","arvana-belle","2.1","902399","2025-09-29T10:02:36.442576"
"4/1","7324731","archibald-ives","5","902399","2025-09-29T10:02:36.568322"
"5/1","7762486","molly-mac","6","902399","2025-09-29T10:02:36.695704"
"8/1","7834668","isthatu","9","902399","2025-09-29T10:02:36.805396"
"8/1","7020171","receding","9","902399","2025-09-29T10:02:36.910088"
"12/1","7970711","pimentel","13","902399","2025-09-29T10:02:37.017459"
